,loadingOrder,carrierName
4.0,HU556375758213,BHSOUA
23.0,CN697517939351,JCMFTA
43.0,CP688025048100,JCMFTA
1.0,SQ473519261714,JCMFTA
20.0,DK526007463328,JCMFTA
19.0,JO793578199453,JCMFTA
40.0,XP547484692992,JCMFTA
18.0,SF521421277783,JCMFTA
8.0,KI513379679177,JCMFTA
27.0,YN918664940559,JCMFTA
15.0,UH605593461959,JCMFTA
22.0,YC833279758033,JCMFTA
28.0,OH858954062542,JCMFTA
29.0,YZ848512807022,JCMFTA
21.0,YL816682411262,NWLGLX
11.0,HD571458716745,NWLGLX
10.0,ZX960013537807,NWLGLX
36.0,XH191903325403,NWLGLX
3.0,CJ589385237271,NWLGLX
42.0,BI100633640980,NWLGLX
33.0,OQ331636212343,NWLGLX
34.0,QT572399767938,OIEQNT
26.0,LH170195055779,OIEQNT
41.0,ZK734334849457,OIEQNT
50.0,DF103658054551,OIEQNT
25.0,XN821466065421,OIEQNT
47.0,NQ841434894867,OIEQNT
17.0,WZ246500367731,OIEQNT
2.0,DD397239756107,OIEQNT
5.0,RZ321715965702,OIEQNT
14.0,PZ917228849607,OYSCFP
39.0,ED297733849981,OYSCFP
45.0,RD928128833205,RWHZVZ
44.0,TR867646066312,RWHZVZ
0.0,XF298545010310,RWHZVZ
6.0,NT164033895398,RWHZVZ
48.0,NP160295725181,RWHZVZ
37.0,FQ186209226792,RWHZVZ
46.0,RW141166406326,RWHZVZ
35.0,VE921944993351,RWHZVZ
9.0,WM440954729662,RWHZVZ
12.0,HU379848970572,RWHZVZ
32.0,QR800391370204,RWHZVZ
31.0,LB612013068522,RWHZVZ
49.0,JY977120112208,RWHZVZ
13.0,QT552685113247,RWHZVZ
16.0,CZ599150294293,RWHZVZ
24.0,RP745679103597,RWHZVZ
7.0,CB778689056646,RWHZVZ
52.0,HV552087053339,UQCRKD
30.0,NF575335387934,UQCRKD
51.0,TP784546049459,UQCRKD
38.0,CO249002517710,UQCRKD
,loadingOrder,carrierName
